FEIL: 6466433.750    89492.880       Felt 2, mangler restriksjon
FEIL: 6465714.500    86401.900       Felt SVKL, mangler restriksjon
FEIL: 6467480.800    85883.800       Felt SVKL, mangler restriksjon
FEIL: 6468733.100    85668.600       Felt SVKL, mangler restriksjon
FEIL: 6470091.100    85230.500       Felt SVKL, mangler restriksjon
FEIL: 6471007.200    93876.100       Felt SVKL, mangler restriksjon
FEIL: 6473445.400    95359.400       Felt SVKL, mangler restriksjon
FEIL: 6473544.700    95442.200       Felt SVKL, mangler restriksjon
FEIL: 6473588.600    95475.900       Felt SVKL, mangler restriksjon
FEIL: 6474198.700    95666.800       Felt SVKL, mangler restriksjon
FEIL: 6474263.100    95690.500       Felt 12, mangler restriksjon
FEIL: 6474264.090    95687.770       Felt 12, mangler restriksjon
FEIL: 6464474.800    85961.100       Felt SVKL, mangler restriksjon
FEIL: 6463661.500    85666.600       Felt SVKL, mangler restriksjon
FEIL: 6466304.000    87724.100       Felt SVKL, mangler restriksjon
FEIL: 6475260.400    85159.800       Felt SVKL, mangler restriksjon
FEIL: 6467719.600    89667.300       Felt SVKL, mangler restriksjon
FEIL: 6466667.900    88607.800       Felt SVKL, mangler restriksjon
FEIL: 6466510.300    88204.400       Felt SVKL, mangler restriksjon
FEIL: 6466327.000    84700.200       Felt 2, mangler restriksjon
FEIL: 6466327.000    84700.200       Felt 1, mangler restriksjon
FEIL: 6466327.000    84700.200       Felt 2, mangler restriksjon
FEIL: 6466327.000    84700.200       Felt 1, mangler restriksjon
FEIL: 6466162.260    84637.570       Felt 2, mangler restriksjon
FEIL: 6466162.260    84637.570       Felt 1, mangler restriksjon
FEIL: 6467263.410    84604.990       Felt 1#2, har restriksjon
FEIL: 6466945.900    88934.500       Felt SVKL, restriksjon feil retning
FEIL: 6466769.830    82230.180       Felt 2, restriksjon feil retning
FEIL: 6466693.600    89819.600       Felt SVKL, restriksjon feil retning
FEIL: 6466444.080    89506.830       Felt 1#2, har restriksjon
FEIL: 6467263.410    84604.990       Felt 1#2, har restriksjon
FEIL: 6467251.250    84624.340       Felt 1#2, har restriksjon
FEIL: 6468099.600    88548.400       Felt 2, restriksjon feil retning
FEIL: 6466327.000    84700.200       Felt 2, restriksjon feil retning
FEIL: 6466450.620    89503.400       Felt 1#2, har restriksjon
FEIL: 6466692.100    89812.300       Felt SVKL, restriksjon feil retning
FEIL: 6464244.900    85843.700       Felt SVKL, restriksjon feil retning
FEIL: 6466140.800    88154.800       Felt 2, restriksjon feil retning
FEIL: 6464251.600    85850.300       Felt SVKL, restriksjon feil retning
FEIL: 6466434.350    89501.860       Felt 1#2, har restriksjon
FEIL: 6467267.320    84612.060       Felt 1#2, har restriksjon
FEIL: 6466947.100    88928.200       Felt SVKL, restriksjon feil retning
FEIL: 6466769.100    82227.600       Felt 2, restriksjon feil retning
FEIL: 6465570.800    85975.400       Felt 2, restriksjon feil retning
FEIL: 6466237.300    84638.800       Felt 2, restriksjon feil retning
FEIL: 6466692.100    89812.300       Felt SVKL, restriksjon feil retning
FEIL: 6466433.750    89492.880       Felt 1#2, har restriksjon
FEIL: 6467250.750    84603.380       Felt 1#2, har restriksjon
FEIL: 6466448.710    89505.140       Felt 1#2, har restriksjon
FEIL: 6462856.300    85349.200       Felt SVKL, restriksjon feil retning
FEIL: 6466451.340    89492.660       Felt 1#2, har restriksjon
FEIL: 6466642.400    87908.200       Felt 2, restriksjon feil retning
