FEIL: 6564002.800   -33486.800       Felt SVKL, restriksjon feil retning
FEIL: 6560497.400   -33747.600       Felt SVKL, restriksjon feil retning
FEIL: 6563511.800   -33189.100       Felt 1#2, har restriksjon
FEIL: 6558181.900   -34906.500       Felt SVKL, restriksjon feil retning
FEIL: 6562883.800   -33092.500       Felt SVKL, restriksjon feil retning
FEIL: 6560730.800   -34032.400       Felt SVKL, restriksjon feil retning
FEIL: 6560160.100   -34682.700       Felt SVKL, restriksjon feil retning
FEIL: 6560299.500   -31329.700       Felt 1#2, har restriksjon
FEIL: 6564726.600   -26534.600       Felt SVKL, restriksjon feil retning
FEIL: 6561093.900   -32919.300       Felt SVKL, restriksjon feil retning
FEIL: 6560643.900   -33882.300       Felt SVKL, restriksjon feil retning
FEIL: 6563216.300   -27188.200       Felt SVKL, restriksjon feil retning
FEIL: 6559580.500   -34143.200       Felt SVKL, restriksjon feil retning
FEIL: 6561075.900   -34524.300       Felt SVKL, restriksjon feil retning
FEIL: 6564407.900   -33349.100       Felt SVKL, restriksjon feil retning
FEIL: 6559716.500   -34053.400       Felt SVKL, restriksjon feil retning
FEIL: 6561149.400   -34596.600       Felt SVKL, restriksjon feil retning
FEIL: 6561479.000   -34866.700       Felt SVKL, restriksjon feil retning
FEIL: 6560689.500   -33951.100       Felt SVKL, restriksjon feil retning
FEIL: 6560549.900   -32641.200       Felt SVKL, restriksjon feil retning
FEIL: 6561436.800   -34816.800       Felt SVKL, restriksjon feil retning
FEIL: 6563009.100   -33218.700       Felt SVKL, restriksjon feil retning
FEIL: 6561282.800   -34668.000       Felt SVKL, restriksjon feil retning
