FEIL: 6586820.400   -31879.000       Restriksjon på del av lenke
FEIL: 6586820.400   -31879.000       Restriksjon på del av lenke
FEIL: 6588779.700   -31794.700       Felt 1V1, mangler restriksjon
FEIL: 6588788.040   -31811.660       Felt 1V1, mangler restriksjon
FEIL: 6583779.390   -34162.750       Felt 2, mangler restriksjon
FEIL: 6583751.800   -34720.700       Felt 2, mangler restriksjon
FEIL: 6583753.360   -34721.880       Felt 2, mangler restriksjon
FEIL: 6583756.610   -34724.450       Felt 2, mangler restriksjon
FEIL: 6585265.520   -33575.010       Felt 2, mangler restriksjon
FEIL: 6585267.550   -33578.840       Felt 2, mangler restriksjon
FEIL: 6585268.650   -33580.880       Felt 2, mangler restriksjon
FEIL: 6589951.600   -31552.900       Felt SVKL, restriksjon feil retning
FEIL: 6584572.200   -33549.800       Felt SVKL, restriksjon feil retning
FEIL: 6591751.500   -34705.200       Felt SVKL, restriksjon feil retning
