FEIL: 6846570.900    15079.700       Felt 1, mangler restriksjon
FEIL: 6846558.800    15080.300       Felt 1, mangler restriksjon
FEIL: 6846561.000    15095.200       Felt 2, mangler restriksjon
FEIL: 6846552.600    15087.100       Felt 2, mangler restriksjon
FEIL: 6847372.000    13055.600       Felt SVKL, restriksjon feil retning
FEIL: 6847034.200    13691.700       Felt SVKL, restriksjon feil retning
FEIL: 6847122.500    13411.100       Felt SVKL, restriksjon feil retning
FEIL: 6847345.200    14274.800       Felt 1#2, har restriksjon
FEIL: 6847409.300    13303.400       Felt SVKL, restriksjon feil retning
FEIL: 6847009.490    13977.590       Felt SVKL, restriksjon feil retning
FEIL: 6847056.500    13601.800       Felt SVKL, restriksjon feil retning
FEIL: 6847260.700    14185.000       Felt 1#2, har restriksjon
FEIL: 6847145.900    13476.700       Felt 1#2, har restriksjon
FEIL: 6847144.800    13468.900       Felt 1#2, har restriksjon
FEIL: 6847154.800    13558.300       Felt 1#2, har restriksjon
FEIL: 6847505.600    13313.700       Felt SVKL, restriksjon feil retning
FEIL: 6847154.600    13549.800       Felt 1#2, har restriksjon
