FEIL: 6896649.200    27822.400       Felt 1#2, har restriksjon
FEIL: 6897519.350    31736.050       Felt SVKL, restriksjon feil retning
FEIL: 6896786.400    27691.000       Felt 1#2, har restriksjon
FEIL: 6897140.600    27569.700       Felt 1#2, har restriksjon
FEIL: 6896764.200    27702.800       Felt 1#2, har restriksjon
FEIL: 6896822.800    27660.800       Felt 1#2, har restriksjon
FEIL: 6896874.500    27628.900       Felt 1#2, har restriksjon
FEIL: 6896661.300    27845.500       Felt 1#2, har restriksjon
FEIL: 6897149.400    27582.700       Felt 1#2, har restriksjon
FEIL: 6897516.000    31733.800       Felt SVKL, restriksjon feil retning
FEIL: 6896735.600    28104.700       Felt 1#2, har restriksjon
FEIL: 6897014.800    27577.100       Felt 1#2, har restriksjon
