FEIL: 7784594.630   818932.990       Felt 1, mangler restriksjon
FEIL: 7784605.940   818915.610       Felt 1, mangler restriksjon
FEIL: 7784591.640   818920.480       Felt 1, mangler restriksjon
FEIL: 7784591.320   818923.150       Felt 1, mangler restriksjon
FEIL: 7783805.100   815450.200       Felt 1, mangler restriksjon
FEIL: 7783805.100   815450.200       Felt 2, mangler restriksjon
FEIL: 7783802.190   815441.230       Felt 1, mangler restriksjon
FEIL: 7783793.440   815449.690       Felt 2, mangler restriksjon
FEIL: 7783708.700   815520.100       Felt 1, mangler restriksjon
FEIL: 7783712.540   815527.030       Felt 2, mangler restriksjon
FEIL: 7783659.840   815571.080       Felt 2, mangler restriksjon
FEIL: 7783657.980   815564.330       Felt 1, mangler restriksjon
