FEIL: 6630845.000   232246.700       Restriksjon på del av lenke
FEIL: 6631867.100   230896.500       Felt 1, mangler restriksjon
FEIL: 6631886.500   230875.300       Felt 1, mangler restriksjon
FEIL: 6631952.700   230801.500       Felt 1, mangler restriksjon
FEIL: 6633603.600   228381.100       Felt 1, mangler restriksjon
FEIL: 6633795.000   227962.800       Felt 2, mangler restriksjon
FEIL: 6631434.000   230900.400       Felt 1H1, mangler restriksjon
FEIL: 6633742.400   227960.000       Felt 2, restriksjon feil retning
FEIL: 6634298.240   227679.600       Felt 1#2, har restriksjon
FEIL: 6634236.300   225434.200       Felt 1#2, har restriksjon
FEIL: 6632333.100   231823.600       Felt 1#2, har restriksjon
FEIL: 6630828.300   232678.300       Felt 1#2, har restriksjon
FEIL: 6632042.200   230522.300       Felt 1#2, har restriksjon
FEIL: 6632792.800   231043.230       Felt 1#2, har restriksjon
FEIL: 6630321.700   231337.700       Felt 1#2, har restriksjon
FEIL: 6634198.900   226945.200       Felt 1#2, har restriksjon
FEIL: 6630771.400   231797.700       Felt 1#2, har restriksjon
FEIL: 6632005.600   230567.300       Felt 1#2, har restriksjon
FEIL: 6633315.000   229473.100       Felt 1#2, har restriksjon
FEIL: 6633117.400   230020.900       Felt 1#2, har restriksjon
FEIL: 6632576.800   230609.300       Felt 2, restriksjon feil retning
FEIL: 6630434.600   231267.000       Felt 1#2, har restriksjon
FEIL: 6629459.800   227653.400       Felt 1#2, har restriksjon
FEIL: 6627731.340   234173.700       Felt 1#2, har restriksjon
FEIL: 6630344.300   231333.600       Felt 1#2, har restriksjon
FEIL: 6628949.600   233775.900       Felt 1#2, har restriksjon
FEIL: 6632786.600   231813.400       Felt 1#2, har restriksjon
FEIL: 6632366.700   231010.600       Felt 1#2, har restriksjon
FEIL: 6633423.800   229234.300       Felt 1#2, har restriksjon
FEIL: 6630136.800   233359.400       Felt 1#2, har restriksjon
FEIL: 6632913.800   231428.700       Felt 1#2, har restriksjon
FEIL: 6632746.400   231876.300       Felt 1#2, har restriksjon
FEIL: 6627737.300   228109.600       Felt 1#2, har restriksjon
FEIL: 6632936.330   231570.940       Felt 1#2, har restriksjon
FEIL: 6632728.600   230870.900       Felt 1#2, har restriksjon
FEIL: 6632783.300   230391.000       Felt 1#2, har restriksjon
FEIL: 6632920.200   231510.100       Felt 1#2, har restriksjon
FEIL: 6628639.700   233530.800       Felt 1#2, har restriksjon
FEIL: 6632489.100   230860.600       Felt 1#2, har restriksjon
FEIL: 6632602.300   230570.800       Felt 2, restriksjon feil retning
FEIL: 6630385.300   231402.500       Felt 1#2, har restriksjon
FEIL: 6632540.300   230551.200       Felt 2, restriksjon feil retning
FEIL: 6629188.700   233710.500       Felt 1#2, har restriksjon
FEIL: 6632725.400   231792.700       Felt 1#2, har restriksjon
FEIL: 6632757.000   231889.300       Felt 1#2, har restriksjon
FEIL: 6627682.600   228216.300       Felt 1#2, har restriksjon
FEIL: 6633691.400   227955.700       Felt 2, restriksjon feil retning
FEIL: 6635479.600   229045.200       Felt 1#2, har restriksjon
FEIL: 6633148.000   230002.600       Felt 1#2, har restriksjon
FEIL: 6631274.500   230686.200       Felt 2, restriksjon feil retning
FEIL: 6631681.380   230917.250       Felt 1#2, har restriksjon
FEIL: 6633561.300   230611.100       Felt 1#2, har restriksjon
FEIL: 6633805.600   226338.600       Felt 1#2, har restriksjon
FEIL: 6632921.000   231512.600       Felt 1#2, har restriksjon
FEIL: 6633666.100   230559.900       Felt 1#2, har restriksjon
FEIL: 6633047.120   231613.790       Felt 1#2, har restriksjon
