FEIL: 6666642.430   237585.700       Felt 2, restriksjon feil retning
FEIL: 6666474.420   237307.780       Felt 2, restriksjon feil retning
FEIL: 6666636.060   237585.830       Felt 2, restriksjon feil retning
FEIL: 6666809.850   237762.320       Felt 2, restriksjon feil retning
FEIL: 6666533.820   237308.160       Felt 2, restriksjon feil retning
FEIL: 6666528.750   237299.230       Felt 2, restriksjon feil retning
FEIL: 6666542.200   237312.930       Felt 2, restriksjon feil retning
FEIL: 6666564.020   237415.780       Felt 2, restriksjon feil retning
FEIL: 6666582.660   237440.270       Felt 2, restriksjon feil retning
FEIL: 6666647.690   237535.350       Felt 2, restriksjon feil retning
FEIL: 6666627.450   237500.980       Felt 2, restriksjon feil retning
