FEIL: 6981934.990   105898.000       Felt 1#2, har restriksjon
FEIL: 6981891.540   106399.490       Felt 1#2, har restriksjon
FEIL: 6981907.880   106389.130       Felt 1#2, har restriksjon
FEIL: 6981643.110   105701.650       Felt 1#2, har restriksjon
FEIL: 6981666.210   105705.940       Felt 1#2, har restriksjon
FEIL: 6981662.400   105683.770       Felt 1#2, har restriksjon
FEIL: 6981895.900   106400.540       Felt 1#2, har restriksjon
FEIL: 6981666.600   105512.290       Felt 1#2, har restriksjon
FEIL: 6981906.810   106393.840       Felt 1#2, har restriksjon
FEIL: 6981741.510   105486.160       Felt 2#H#1, har restriksjon
FEIL: 6981669.260   105495.760       Felt 1#2, har restriksjon
FEIL: 6981723.290   105440.910       Felt 2#H#1, har restriksjon
FEIL: 6981671.650   105502.430       Felt 1#2, har restriksjon
FEIL: 6981906.810   106384.230       Felt 1#2, har restriksjon
FEIL: 6981652.290   105682.750       Felt 1#2, har restriksjon
FEIL: 6981659.000   105709.970       Felt 1#2, har restriksjon
FEIL: 6981642.170   105694.520       Felt 1#2, har restriksjon
FEIL: 6981659.790   105514.390       Felt 1#2, har restriksjon
FEIL: 6981644.350   105688.580       Felt 1#2, har restriksjon
FEIL: 6981930.020   105915.370       Felt 1#2, har restriksjon
FEIL: 6981918.940   105914.930       Felt 1#2, har restriksjon
FEIL: 6981936.910   105903.400       Felt 1#2, har restriksjon
FEIL: 6981924.410   105916.530       Felt 1#2, har restriksjon
FEIL: 6981884.850   106389.160       Felt 1#2, har restriksjon
FEIL: 6981670.070   105697.090       Felt 1#2, har restriksjon
FEIL: 6981648.550   105708.080       Felt 1#2, har restriksjon
FEIL: 6981919.420   105893.830       Felt 1#2, har restriksjon
FEIL: 6981935.640   105909.950       Felt 1#2, har restriksjon
FEIL: 6981924.130   105892.510       Felt 1#2, har restriksjon
FEIL: 6981667.710   105511.530       Felt 1#2, har restriksjon
FEIL: 6981653.140   105512.080       Felt 1#2, har restriksjon
FEIL: 6981901.780   106378.880       Felt 1#2, har restriksjon
FEIL: 6981653.290   105493.380       Felt 1#2, har restriksjon
FEIL: 6981897.080   106377.520       Felt 1#2, har restriksjon
FEIL: 6981885.180   106386.270       Felt 1#2, har restriksjon
FEIL: 6981902.180   106398.940       Felt 1#2, har restriksjon
FEIL: 6981661.680   105491.300       Felt 1#2, har restriksjon
FEIL: 6981929.710   105893.510       Felt 1#2, har restriksjon
FEIL: 6981892.090   106378.360       Felt 1#2, har restriksjon
FEIL: 6981886.150   106383.720       Felt 1#2, har restriksjon
FEIL: 6981668.350   105494.710       Felt 1#2, har restriksjon
