FEIL: 6658786.430   279603.160       Felt , mangler restriksjon
FEIL: 6659667.880   280455.490       Felt 2, mangler restriksjon
FEIL: 6659640.880   280496.210       Felt 2, mangler restriksjon
FEIL: 6659667.880   280455.490       Felt 1, mangler restriksjon
FEIL: 6659646.480   280483.940       Felt 1, mangler restriksjon
FEIL: 6659665.400   280491.400       Felt 2, mangler restriksjon
FEIL: 6659676.390   280502.050       Felt 2, mangler restriksjon
FEIL: 6659657.460   280506.230       Felt 1, mangler restriksjon
FEIL: 6659672.640   280508.970       Felt 1, mangler restriksjon
FEIL: 6657063.780   278511.790       Felt 1, mangler restriksjon
FEIL: 6657067.830   278505.100       Felt 1, mangler restriksjon
FEIL: 6652544.710   276890.660       Felt 1, mangler restriksjon
FEIL: 6652553.000   276888.050       Felt 1, mangler restriksjon
FEIL: 6652553.000   276888.050       Felt 2, mangler restriksjon
FEIL: 6652548.320   276895.070       Felt 2, mangler restriksjon
