FEIL: 7784864.380   818548.740       Felt 2V1, mangler restriksjon
FEIL: 7784869.610   818562.740       Felt 2V1, mangler restriksjon
FEIL: 7784871.820   818581.890       Felt 2V1, mangler restriksjon
FEIL: 7782688.530   814108.700       Felt 2V1, mangler restriksjon
FEIL: 7782699.650   814119.360       Felt 2V1, mangler restriksjon
FEIL: 7782723.850   814170.970       Felt 2V1, mangler restriksjon
FEIL: 7782531.800   813799.900       Felt 1, mangler restriksjon
FEIL: 7782543.960   813824.300       Felt 1, mangler restriksjon
FEIL: 7782531.800   813799.900       Felt 2, mangler restriksjon
FEIL: 7782548.530   813820.760       Felt 2#2V1, mangler restriksjon
FEIL: 7782543.960   813824.300       Felt 2V1, mangler restriksjon
FEIL: 7782548.250   813824.370       Felt 2V1, mangler restriksjon
FEIL: 7782563.250   813845.530       Felt 2V1, mangler restriksjon
