FEIL: 6643591.540   247548.360       Felt 1V1, mangler restriksjon
FEIL: 6643584.990   247553.820       Felt 1V1, mangler restriksjon
FEIL: 6643520.890   247566.000       Felt 1V1, mangler restriksjon
FEIL: 6643318.480   247527.440       Felt 1V1, mangler restriksjon
FEIL: 6643308.980   247525.710       Felt 1V1, mangler restriksjon
FEIL: 6643249.650   247492.210       Felt 1V1, mangler restriksjon
FEIL: 6642724.860   247027.290       Felt 1V1, mangler restriksjon
FEIL: 6642713.430   247027.160       Felt 1V1, mangler restriksjon
FEIL: 6642662.130   247012.080       Felt 1V1, mangler restriksjon
FEIL: 6644248.820   246757.840       Felt 1V1, mangler restriksjon
FEIL: 6644253.880   246741.000       Felt 1V1, mangler restriksjon
FEIL: 6644266.610   246710.070       Felt 1V1, mangler restriksjon
FEIL: 6644037.800   246935.900       Felt 1V1, mangler restriksjon
FEIL: 6644031.950   246942.800       Felt 1V1, mangler restriksjon
FEIL: 6643982.970   246981.150       Felt 1V1, mangler restriksjon
FEIL: 6641732.740   243749.380       Felt 1V1, mangler restriksjon
FEIL: 6641729.490   243740.070       Felt 1V1, mangler restriksjon
FEIL: 6641723.710   243693.120       Felt 1V1, mangler restriksjon
FEIL: 6641516.320   244538.780       Felt 1V1, mangler restriksjon
FEIL: 6641509.970   244542.800       Felt 1V1, mangler restriksjon
FEIL: 6641493.900   244545.760       Felt 1V1, mangler restriksjon
FEIL: 6641481.600   244540.900       Felt 2V1, mangler restriksjon
FEIL: 6641471.400   244547.280       Felt 2V1, mangler restriksjon
FEIL: 6641434.920   244547.480       Felt 2V1, mangler restriksjon
FEIL: 6641238.200   242620.700       Felt 2V1, mangler restriksjon
FEIL: 6641230.140   242610.900       Felt 2V1, mangler restriksjon
FEIL: 6641223.290   242591.390       Felt 2V1, mangler restriksjon
FEIL: 6640452.290   241178.140       Felt 1V1, mangler restriksjon
FEIL: 6640445.670   241170.950       Felt 1V1, mangler restriksjon
FEIL: 6640428.620   241137.630       Felt 1V1, mangler restriksjon
