FEIL: 6659667.880   280455.490       Felt 2, mangler restriksjon
FEIL: 6659640.880   280496.210       Felt 2, mangler restriksjon
FEIL: 6659667.880   280455.490       Felt 1, mangler restriksjon
FEIL: 6659646.480   280483.940       Felt 1, mangler restriksjon
FEIL: 6659665.400   280491.400       Felt 2, mangler restriksjon
FEIL: 6659676.390   280502.050       Felt 2, mangler restriksjon
FEIL: 6659657.460   280506.230       Felt 1, mangler restriksjon
FEIL: 6659672.640   280508.970       Felt 1, mangler restriksjon
FEIL: 6657063.780   278511.790       Felt 1, mangler restriksjon
FEIL: 6657067.830   278505.100       Felt 1, mangler restriksjon
FEIL: 6652544.710   276890.660       Felt 1, mangler restriksjon
FEIL: 6652553.000   276888.050       Felt 1, mangler restriksjon
FEIL: 6652553.000   276888.050       Felt 2, mangler restriksjon
FEIL: 6652548.320   276895.070       Felt 2, mangler restriksjon
FEIL: 6654680.470   276331.540       Felt 2, mangler restriksjon
FEIL: 6654688.010   276328.600       Felt 2, mangler restriksjon
FEIL: 6656966.320   279625.900       Felt 1V1, mangler restriksjon
FEIL: 6656980.460   279626.630       Felt 1V1, mangler restriksjon
FEIL: 6657010.310   279632.970       Felt 1V1, mangler restriksjon
FEIL: 6657667.600   279415.400       Felt 2V1, mangler restriksjon
FEIL: 6657671.930   279402.880       Felt 2V1, mangler restriksjon
FEIL: 6657706.440   279363.350       Felt 2V1, mangler restriksjon
