FEIL: 6686758.230   244229.810       Felt 2H1, mangler restriksjon
FEIL: 6686755.300   244233.860       Felt 2H1, mangler restriksjon
FEIL: 6686752.470   244256.790       Felt 2H1, mangler restriksjon
FEIL: 6686719.330   244152.870       Felt 1V1, mangler restriksjon
FEIL: 6686721.740   244162.770       Felt 1V1, mangler restriksjon
FEIL: 6686734.190   244220.650       Felt 1V1, mangler restriksjon
FEIL: 6686797.340   243633.640       Felt 1V1, mangler restriksjon
FEIL: 6686801.380   243639.240       Felt 1V1, mangler restriksjon
FEIL: 6686821.880   243706.210       Felt 1V1, mangler restriksjon
FEIL: 6686723.790   243488.010       Felt 1, mangler restriksjon
FEIL: 6686716.670   243492.360       Felt 1, mangler restriksjon
FEIL: 6686714.440   243493.690       Felt 1, mangler restriksjon
FEIL: 6686701.390   243501.520       Felt 1, mangler restriksjon
FEIL: 6686730.630   243498.910       Felt 2, mangler restriksjon
FEIL: 6686722.620   243502.220       Felt 2, mangler restriksjon
FEIL: 6686719.490   243503.090       Felt 2, mangler restriksjon
FEIL: 6686691.770   243450.200       Felt 1H1, mangler restriksjon
FEIL: 6686696.820   243463.660       Felt 1H1, mangler restriksjon
FEIL: 6686703.940   243496.870       Felt 1H1, mangler restriksjon
FEIL: 6686716.670   243492.360       Felt 2V1, mangler restriksjon
FEIL: 6686729.270   243502.390       Felt 2V1, mangler restriksjon
FEIL: 6686772.640   243569.140       Felt 2V1, mangler restriksjon
FEIL: 6685881.790   242868.700       Felt 2, mangler restriksjon
FEIL: 6685943.100   242944.670       Felt 2#2F, mangler restriksjon
FEIL: 6685946.080   242949.900       Felt 2#2F, mangler restriksjon
FEIL: 6686407.380   243134.090       Felt 2#2F, mangler restriksjon
FEIL: 6686437.510   243147.390       Felt 2#2F, mangler restriksjon
FEIL: 6685877.260   242874.500       Felt 1, mangler restriksjon
FEIL: 6685938.140   242947.340       Felt 1, mangler restriksjon
FEIL: 6685941.330   242952.760       Felt 1, mangler restriksjon
FEIL: 6686407.520   243139.970       Felt 1, mangler restriksjon
FEIL: 6686436.700   243153.080       Felt 1, mangler restriksjon
FEIL: 6685787.970   242797.700       Felt 2V1, mangler restriksjon
FEIL: 6685800.530   242802.450       Felt 2V1, mangler restriksjon
FEIL: 6685862.110   242853.100       Felt 2V1, mangler restriksjon
FEIL: 6685708.270   242729.790       Felt 1H1, mangler restriksjon
FEIL: 6685712.990   242735.900       Felt 1H1, mangler restriksjon
FEIL: 6685773.830   242807.590       Felt 1H1, mangler restriksjon
FEIL: 6685686.090   242678.450       Felt 2H1, mangler restriksjon
FEIL: 6685685.210   242686.580       Felt 2H1, mangler restriksjon
FEIL: 6685753.360   242755.450       Felt 2H1, mangler restriksjon
FEIL: 6685592.960   242630.180       Felt 1V1, mangler restriksjon
FEIL: 6685602.210   242636.290       Felt 1V1, mangler restriksjon
FEIL: 6685662.510   242686.460       Felt 1V1, mangler restriksjon
FEIL: 6685459.900   242508.230       Felt 2, mangler restriksjon
FEIL: 6685459.900   242508.230       Felt 1, mangler restriksjon
FEIL: 6686753.550   244265.430       Felt 2, mangler restriksjon
FEIL: 6686762.200   244289.500       Felt 2, mangler restriksjon
FEIL: 6686745.320   244262.860       Felt 1, mangler restriksjon
FEIL: 6686755.460   244288.690       Felt 1, mangler restriksjon
FEIL: 6686848.790   243719.300       Felt 2H1, mangler restriksjon
FEIL: 6686845.820   243721.580       Felt 2H1, mangler restriksjon
FEIL: 6686839.660   243728.500       Felt 2H1, mangler restriksjon
FEIL: 6686833.720   243753.340       Felt 2H1, mangler restriksjon
