FEIL: 7041814.100   270350.500       Felt 1, mangler restriksjon
FEIL: 7041828.630   270338.800       Felt 1, mangler restriksjon
FEIL: 7041828.600   270335.400       Felt 1, mangler restriksjon
FEIL: 7041818.000   270324.900       Felt 1, mangler restriksjon
FEIL: 7041814.570   270324.800       Felt 1, mangler restriksjon
FEIL: 7041803.300   270339.700       Felt 1, mangler restriksjon
FEIL: 7041516.260   274236.240       Felt 1, mangler restriksjon
FEIL: 7041481.500   274219.800       Felt 1, mangler restriksjon
FEIL: 7041330.300   274069.200       Felt 1, mangler restriksjon
FEIL: 7041279.600   274019.000       Felt 1, mangler restriksjon
FEIL: 7041233.600   273973.800       Felt 1, mangler restriksjon
FEIL: 7041159.500   273893.900       Felt 1, mangler restriksjon
FEIL: 7041086.200   273811.300       Felt 1, mangler restriksjon
FEIL: 7041050.500   273770.800       Felt 1, mangler restriksjon
FEIL: 7041016.700   273730.700       Felt 1, mangler restriksjon
FEIL: 7041777.100   274043.800       Felt 1, mangler restriksjon
FEIL: 7038651.810   275558.050       Felt 1, mangler restriksjon
FEIL: 7038665.480   275565.770       Felt 1, mangler restriksjon
FEIL: 7038667.770   275557.820       Felt 1, mangler restriksjon
FEIL: 7041794.100   272913.700       Felt , mangler restriksjon
FEIL: 7042212.740   273527.520       Felt 1K, mangler restriksjon
FEIL: 7042202.230   273534.110       Felt 1K, mangler restriksjon
FEIL: 7041705.730   274147.540       Felt 1, mangler restriksjon
FEIL: 7041623.380   274234.120       Felt 1, mangler restriksjon
FEIL: 7032942.700   266462.600       Felt 1, mangler restriksjon
FEIL: 7040697.350   277292.260       Felt 1#2, har restriksjon
FEIL: 7040691.320   277316.960       Felt 1#2, har restriksjon
FEIL: 7040709.030   277302.450       Felt 1#2, har restriksjon
FEIL: 7040683.140   277303.700       Felt 1#2, har restriksjon
