FEIL: 6466237.300    84638.800       Restriksjon på del av lenke
FEIL: 6471171.920    84673.180       Felt 1#21H1, mangler restriksjon
FEIL: 6465714.500    86401.900       Felt SVKL, mangler restriksjon
FEIL: 6467480.800    85883.800       Felt SVKL, mangler restriksjon
FEIL: 6468733.100    85668.600       Felt SVKL, mangler restriksjon
FEIL: 6470091.100    85230.500       Felt SVKL, mangler restriksjon
FEIL: 6471007.200    93876.100       Felt SVKL, mangler restriksjon
FEIL: 6473445.400    95359.400       Felt SVKL, mangler restriksjon
FEIL: 6473544.700    95442.200       Felt SVKL, mangler restriksjon
FEIL: 6473588.600    95475.900       Felt SVKL, mangler restriksjon
FEIL: 6474198.700    95666.800       Felt SVKL, mangler restriksjon
FEIL: 6474263.100    95690.500       Felt 12, mangler restriksjon
FEIL: 6474264.090    95687.770       Felt 12, mangler restriksjon
FEIL: 6466304.000    87724.100       Felt SVKL, mangler restriksjon
FEIL: 6475260.400    85159.800       Felt SVKL, mangler restriksjon
FEIL: 6467719.600    89667.300       Felt SVKL, mangler restriksjon
FEIL: 6466667.900    88607.800       Felt SVKL, mangler restriksjon
FEIL: 6466510.300    88204.400       Felt SVKL, mangler restriksjon
FEIL: 6467555.400    88935.960       Felt 1, mangler restriksjon
FEIL: 6467564.630    88938.420       Felt 1, mangler restriksjon
FEIL: 6467563.730    88950.400       Felt 1, mangler restriksjon
FEIL: 6470373.890    97858.170       Felt 2, mangler restriksjon
FEIL: 6470373.890    97858.170       Felt 1, mangler restriksjon
FEIL: 6468758.480    96852.840       Felt 2, mangler restriksjon
FEIL: 6468758.480    96852.840       Felt 1, mangler restriksjon
FEIL: 6468816.260    96900.160       Felt 2, mangler restriksjon
FEIL: 6468816.260    96900.160       Felt 1, mangler restriksjon
FEIL: 6472126.490    93256.180       Felt 1, mangler restriksjon
FEIL: 6472132.190    93254.070       Felt 1, mangler restriksjon
FEIL: 6472118.460    93249.850       Felt 1, mangler restriksjon
FEIL: 6472121.580    93255.280       Felt 1, mangler restriksjon
FEIL: 6472119.720    93244.040       Felt 1, mangler restriksjon
FEIL: 6472121.580    93255.280       Felt 2, mangler restriksjon
FEIL: 6472166.520    93252.900       Felt 2, mangler restriksjon
FEIL: 6472147.910    93252.410       Felt 2, mangler restriksjon
FEIL: 6472166.520    93252.900       Felt 1, mangler restriksjon
FEIL: 6472148.620    93247.550       Felt 1, mangler restriksjon
FEIL: 6472136.880    93221.800       Felt 2, mangler restriksjon
FEIL: 6472136.880    93221.800       Felt 1, mangler restriksjon
FEIL: 6472127.070    93241.020       Felt 1, mangler restriksjon
FEIL: 6472122.740    93241.910       Felt 1, mangler restriksjon
FEIL: 6472119.720    93244.040       Felt 1, mangler restriksjon
FEIL: 6472133.970    93249.300       Felt 1, mangler restriksjon
FEIL: 6472133.160    93244.820       Felt 1, mangler restriksjon
FEIL: 6472131.410    93242.720       Felt 1, mangler restriksjon
FEIL: 6473213.630    94826.660       Felt 2, mangler restriksjon
FEIL: 6473210.100    94825.000       Felt 2, mangler restriksjon
FEIL: 6466008.490    84613.290       Felt 1, mangler restriksjon
FEIL: 6466003.370    84612.490       Felt 1, mangler restriksjon
FEIL: 6470741.480    84783.030       Felt 2, mangler restriksjon
FEIL: 6470740.900    84785.230       Felt 2, mangler restriksjon
FEIL: 6466945.900    88934.500       Felt SVKL, restriksjon feil retning
FEIL: 6466693.600    89819.600       Felt SVKL, restriksjon feil retning
FEIL: 6466327.000    84700.200       Felt 2, restriksjon feil retning
FEIL: 6466692.100    89812.300       Felt SVKL, restriksjon feil retning
FEIL: 6464244.900    85843.700       Felt SVKL, restriksjon feil retning
FEIL: 6464251.600    85850.300       Felt SVKL, restriksjon feil retning
FEIL: 6466947.100    88928.200       Felt SVKL, restriksjon feil retning
FEIL: 6466692.100    89812.300       Felt SVKL, restriksjon feil retning
FEIL: 6462856.300    85349.200       Felt SVKL, restriksjon feil retning
