FEIL: 6495313.740   135206.720       Felt 2#4S, har restriksjon
FEIL: 6493854.030   134293.170       Felt 2#4S, har restriksjon
FEIL: 6495275.080   135213.870       Felt 2#4S, har restriksjon
FEIL: 6494179.030   134876.230       Felt 2#4S, har restriksjon
FEIL: 6493900.530   134306.240       Felt 2#4S, har restriksjon
FEIL: 6495288.170   135214.500       Felt 2#4S, har restriksjon
FEIL: 6495378.460   135178.280       Felt 2#4S, har restriksjon
FEIL: 6495282.680   135214.850       Felt 2#4S, har restriksjon
FEIL: 6493806.090   134286.520       Felt 2#4S, har restriksjon
FEIL: 6493791.160   134285.350       Felt 2#4S, har restriksjon
FEIL: 6493507.380   134251.560       Felt 2#4S, har restriksjon
FEIL: 6495327.680   135200.560       Felt 2#4S, har restriksjon
FEIL: 6493846.210   134291.710       Felt 2#2V1#4S, har restriksjon
FEIL: 6493864.120   134295.700       Felt 2#4S, har restriksjon
