FEIL: 6691384.500   233779.700       Felt 1H1, mangler restriksjon
FEIL: 6681503.100   237796.440       Felt 2, mangler restriksjon
FEIL: 6681496.170   237796.530       Felt 1, mangler restriksjon
FEIL: 6681494.420   237778.900       Felt 1, mangler restriksjon
FEIL: 6681505.160   237778.430       Felt 2, mangler restriksjon
FEIL: 6681794.770   238617.410       Felt 1, mangler restriksjon
FEIL: 6681852.760   238623.450       Felt 1, mangler restriksjon
FEIL: 6681794.770   238617.410       Felt 2, mangler restriksjon
FEIL: 6681852.700   238617.720       Felt 2, mangler restriksjon
FEIL: 6681873.900   238684.650       Felt 2, mangler restriksjon
FEIL: 6681872.820   238695.460       Felt 1, mangler restriksjon
FEIL: 6683638.600   240521.020       Felt 2, mangler restriksjon
FEIL: 6683647.780   240534.660       Felt 1, mangler restriksjon
FEIL: 6680344.160   234868.750       Felt , restriksjon feil retning
