FEIL: 6561407.900   -34949.490       Felt 2, mangler restriksjon
FEIL: 6561395.430   -34970.720       Felt 2, mangler restriksjon
FEIL: 6561394.770   -35019.130       Felt 2, mangler restriksjon
FEIL: 6561395.540   -35027.320       Felt 2, mangler restriksjon
FEIL: 6561387.320   -35029.560       Felt 2, mangler restriksjon
FEIL: 6561395.540   -35027.320       Felt 2, mangler restriksjon
FEIL: 6561407.900   -34949.490       Felt 1, mangler restriksjon
FEIL: 6561403.050   -34973.410       Felt 1#1V1, mangler restriksjon
FEIL: 6561403.070   -35022.120       Felt 1#1V1, mangler restriksjon
FEIL: 6561403.350   -35025.800       Felt 1, mangler restriksjon
FEIL: 6561385.870   -35020.860       Felt 1, mangler restriksjon
FEIL: 6561394.770   -35019.130       Felt 1, mangler restriksjon
FEIL: 6561398.780   -35018.810       Felt 1, mangler restriksjon
FEIL: 6561403.050   -34973.410       Felt 1V1, mangler restriksjon
FEIL: 6561399.810   -34979.800       Felt 1V1, mangler restriksjon
FEIL: 6561398.780   -35018.810       Felt 1V1, mangler restriksjon
FEIL: 6560631.210   -31477.990       Felt 2, mangler restriksjon
FEIL: 6560638.890   -31473.210       Felt 2, mangler restriksjon
FEIL: 6560626.240   -31470.840       Felt 1, mangler restriksjon
FEIL: 6560633.750   -31465.430       Felt 1, mangler restriksjon
FEIL: 6560356.080   -32803.720       Felt 1, mangler restriksjon
FEIL: 6560366.130   -32792.660       Felt 1, mangler restriksjon
FEIL: 6560371.480   -32793.630       Felt 1, mangler restriksjon
FEIL: 6560376.430   -32798.220       Felt 1, mangler restriksjon
FEIL: 6560377.800   -32803.280       Felt 1, mangler restriksjon
FEIL: 6560377.740   -32804.520       Felt 1, mangler restriksjon
FEIL: 6560374.160   -32811.600       Felt 1, mangler restriksjon
FEIL: 6560367.970   -32814.300       Felt 1, mangler restriksjon
FEIL: 6560363.890   -32813.910       Felt 1, mangler restriksjon
FEIL: 6560359.220   -32811.130       Felt 1, mangler restriksjon
FEIL: 6560376.430   -32798.220       Felt 2#2H1, mangler restriksjon
FEIL: 6560475.200   -32691.980       Felt 2#2H1, mangler restriksjon
FEIL: 6560377.740   -32804.520       Felt 1, mangler restriksjon
FEIL: 6560385.310   -32822.350       Felt 1, mangler restriksjon
FEIL: 6560367.970   -32814.300       Felt 2, mangler restriksjon
FEIL: 6560380.970   -32825.310       Felt 2, mangler restriksjon
FEIL: 6560292.600   -32924.800       Felt 2, mangler restriksjon
FEIL: 6560350.400   -32826.250       Felt 2, mangler restriksjon
FEIL: 6560286.330   -32921.490       Felt 1, mangler restriksjon
FEIL: 6560345.240   -32820.940       Felt 1, mangler restriksjon
FEIL: 6560396.060   -32760.050       Felt 1, mangler restriksjon
FEIL: 6560491.880   -32662.280       Felt 2, mangler restriksjon
FEIL: 6560484.660   -32652.700       Felt 2, mangler restriksjon
FEIL: 6560484.210   -32666.630       Felt 1, mangler restriksjon
FEIL: 6560479.380   -32656.650       Felt 1, mangler restriksjon
FEIL: 6560377.800   -32803.280       Felt 2H1, mangler restriksjon
FEIL: 6560479.350   -32696.660       Felt 2H1, mangler restriksjon
FEIL: 6560366.130   -32792.660       Felt 1, mangler restriksjon
FEIL: 6560396.060   -32760.050       Felt 1, mangler restriksjon
FEIL: 6560471.270   -32686.590       Felt 1, mangler restriksjon
FEIL: 6560482.460   -32674.060       Felt 1, mangler restriksjon
FEIL: 6560484.210   -32666.630       Felt 1, mangler restriksjon
FEIL: 6560488.130   -32663.290       Felt 1, mangler restriksjon
FEIL: 6560491.880   -32662.280       Felt 1, mangler restriksjon
FEIL: 6560494.480   -32662.410       Felt 1, mangler restriksjon
FEIL: 6560496.950   -32663.190       Felt 1, mangler restriksjon
FEIL: 6560500.940   -32666.450       Felt 1, mangler restriksjon
FEIL: 6560502.940   -32672.540       Felt 1, mangler restriksjon
FEIL: 6560501.850   -32677.140       Felt 1, mangler restriksjon
FEIL: 6560498.470   -32681.030       Felt 1, mangler restriksjon
FEIL: 6560493.620   -32682.790       Felt 1, mangler restriksjon
FEIL: 6560488.530   -32681.980       Felt 1, mangler restriksjon
FEIL: 6560484.470   -32678.800       Felt 1, mangler restriksjon
FEIL: 6560501.850   -32677.140       Felt 2H1, mangler restriksjon
FEIL: 6560554.800   -32639.200       Felt 4K, mangler restriksjon
FEIL: 6560712.240   -32601.510       Felt 4K, mangler restriksjon
FEIL: 6560502.940   -32672.540       Felt 2#4K, mangler restriksjon
FEIL: 6560553.620   -32636.730       Felt 2#4K, mangler restriksjon
FEIL: 6560712.120   -32598.070       Felt 2#4K, mangler restriksjon
FEIL: 6560496.950   -32663.190       Felt 1#3K, mangler restriksjon
FEIL: 6560696.680   -32594.100       Felt 1#3K, mangler restriksjon
FEIL: 6560712.180   -32594.210       Felt 1#3K, mangler restriksjon
FEIL: 6560494.480   -32662.410       Felt 3K, mangler restriksjon
FEIL: 6560696.670   -32591.370       Felt 3K, mangler restriksjon
FEIL: 6560712.180   -32591.440       Felt 3K, mangler restriksjon
