FEIL: 6469928.430    98424.060       Felt 1#2, har restriksjon
FEIL: 6470166.930    98130.390       Felt 1#2, har restriksjon
FEIL: 6470147.910    98148.870       Felt 1#2, har restriksjon
FEIL: 6470060.990    98320.500       Felt 1#2, har restriksjon
FEIL: 6469931.320    98421.420       Felt 1#2, har restriksjon
FEIL: 6470008.140    98304.040       Felt 1#2, har restriksjon
FEIL: 6470147.320    98146.820       Felt 1#2, har restriksjon
FEIL: 6470053.670    98323.010       Felt 1#2, har restriksjon
FEIL: 6469925.580    98428.740       Felt 1#2, har restriksjon
FEIL: 6469996.020    98284.460       Felt 1#2, har restriksjon
FEIL: 6474752.250   109858.480       Felt 1#2, har restriksjon
FEIL: 6470008.390    98291.850       Felt 1#2, har restriksjon
FEIL: 6469988.350    98308.470       Felt 1#2, har restriksjon
FEIL: 6470047.380    98330.660       Felt 1#2, har restriksjon
FEIL: 6470006.450    98289.020       Felt 1#2, har restriksjon
FEIL: 6470147.530    98141.210       Felt 1#2, har restriksjon
FEIL: 6474776.770   109842.130       Felt 1#2, har restriksjon
FEIL: 6470171.870    98133.850       Felt 1#2, har restriksjon
FEIL: 6469985.050    98305.070       Felt 1#2, har restriksjon
FEIL: 6469992.750    98310.750       Felt 1#2, har restriksjon
FEIL: 6469936.220    98419.800       Felt 1#2, har restriksjon
FEIL: 6470002.370    98286.050       Felt 1#2, har restriksjon
FEIL: 6469954.340    98431.450       Felt 1#2, har restriksjon
FEIL: 6469943.990    98420.790       Felt 1#2, har restriksjon
FEIL: 6469951.390    98425.740       Felt 1#2, har restriksjon
FEIL: 6474752.430   109836.440       Felt 1#2, har restriksjon
FEIL: 6474757.730   109863.350       Felt 1#2, har restriksjon
FEIL: 6470072.560    98325.610       Felt 1#2, har restriksjon
FEIL: 6474772.140   109859.350       Felt 1#2, har restriksjon
FEIL: 6474749.550   109841.570       Felt 1#2, har restriksjon
FEIL: 6470005.280    98307.800       Felt 1#2, har restriksjon
FEIL: 6470051.420    98346.130       Felt 1#2, har restriksjon
FEIL: 6470067.280    98321.710       Felt 1#2, har restriksjon
FEIL: 6474769.400   109834.430       Felt 1#2, har restriksjon
FEIL: 6474776.950   109853.780       Felt 1#2, har restriksjon
FEIL: 6470149.990    98152.460       Felt 1#2, har restriksjon
FEIL: 6474748.420   109852.870       Felt 1#2, har restriksjon
FEIL: 6469926.170    98440.150       Felt 1#2, har restriksjon
FEIL: 6470009.800    98297.820       Felt 1#2, har restriksjon
FEIL: 6470175.420    98139.750       Felt 1#2, har restriksjon
FEIL: 6469924.230    98433.470       Felt 1#2, har restriksjon
FEIL: 6474766.830   109862.830       Felt 1#2, har restriksjon
FEIL: 6470155.810    98129.430       Felt 1#2, har restriksjon
FEIL: 6469946.680    98447.660       Felt 1#2, har restriksjon
FEIL: 6470056.060    98349.610       Felt 1#2, har restriksjon
FEIL: 6469954.050    98437.930       Felt 1#2, har restriksjon
FEIL: 6470150.940    98132.780       Felt 1#2, har restriksjon
FEIL: 6469935.140    98448.100       Felt 1#2, har restriksjon
FEIL: 6470154.710    98156.330       Felt 1#2, har restriksjon
FEIL: 6474773.830   109837.640       Felt 1#2, har restriksjon
FEIL: 6469941.230    98449.250       Felt 1#2, har restriksjon
FEIL: 6470009.510    98295.030       Felt 1#2, har restriksjon
FEIL: 6470063.540    98350.860       Felt 1#2, har restriksjon
FEIL: 6470046.530    98335.940       Felt 1#2, har restriksjon
FEIL: 6470148.740    98137.940       Felt 1#2, har restriksjon
FEIL: 6469999.370    98284.780       Felt 1#2, har restriksjon
FEIL: 6470001.460    98310.120       Felt 1#2, har restriksjon
FEIL: 6470049.890    98326.570       Felt 1#2, har restriksjon
