FEIL: 6547037.450   -39287.930       Restriksjon på del av lenke
FEIL: 6548425.570   -40225.690       Felt 2, mangler restriksjon
FEIL: 6548427.430   -40229.470       Felt 2, mangler restriksjon
FEIL: 6546890.980   -40936.520       Felt 1, mangler restriksjon
FEIL: 6546885.810   -40932.990       Felt 1, mangler restriksjon
FEIL: 6546883.850   -40928.350       Felt 1, mangler restriksjon
FEIL: 6546884.380   -40923.350       Felt 1, mangler restriksjon
FEIL: 6546887.270   -40919.220       Felt 1, mangler restriksjon
FEIL: 6546893.990   -40916.830       Felt 1, mangler restriksjon
FEIL: 6546900.160   -40919.090       Felt 1, mangler restriksjon
FEIL: 6546902.150   -40932.470       Felt 1, mangler restriksjon
FEIL: 6546897.020   -40936.440       Felt 1, mangler restriksjon
FEIL: 6546883.250   -40863.790       Felt 1, mangler restriksjon
FEIL: 6546883.790   -40850.960       Felt 1, mangler restriksjon
FEIL: 6546887.990   -40848.210       Felt 1, mangler restriksjon
FEIL: 6546894.220   -40848.150       Felt 1, mangler restriksjon
FEIL: 6546898.470   -40850.800       Felt 1, mangler restriksjon
FEIL: 6546901.140   -40856.430       Felt 1, mangler restriksjon
FEIL: 6546899.520   -40863.270       Felt 1, mangler restriksjon
FEIL: 6546896.870   -40865.950       Felt 1, mangler restriksjon
FEIL: 6546889.630   -40867.590       Felt 1, mangler restriksjon
FEIL: 6546900.160   -40919.090       Felt 2, mangler restriksjon
FEIL: 6546904.210   -40973.000       Felt 2, mangler restriksjon
FEIL: 6546902.500   -40944.690       Felt 2, mangler restriksjon
FEIL: 6546904.210   -40973.000       Felt 1, mangler restriksjon
FEIL: 6546895.500   -40946.070       Felt 1, mangler restriksjon
FEIL: 6546887.270   -40919.220       Felt 1, mangler restriksjon
FEIL: 6546885.810   -40932.990       Felt 1, mangler restriksjon
FEIL: 6546884.380   -40923.350       Felt 2, mangler restriksjon
FEIL: 6546899.520   -40863.270       Felt 2, mangler restriksjon
FEIL: 6546910.510   -40858.720       Felt 2, mangler restriksjon
FEIL: 6546898.470   -40850.800       Felt 1, mangler restriksjon
FEIL: 6546910.060   -40852.720       Felt 1, mangler restriksjon
FEIL: 6546894.220   -40848.150       Felt 2, mangler restriksjon
FEIL: 6546883.790   -40850.960       Felt 1, mangler restriksjon
FEIL: 6548741.200   -40702.600       Felt 2V1, mangler restriksjon
FEIL: 6548774.180   -40680.950       Felt 2V1, mangler restriksjon
FEIL: 6548689.520   -40730.980       Felt 1V1, mangler restriksjon
FEIL: 6548696.060   -40726.600       Felt 1V1, mangler restriksjon
