*0138*2011 VEGNETT*20110511*FART*20110511*VDB SVNT*AHT
..Eksport-dato 20110511
50;

Komm; TransID;kode;Fra;   Til;felt; Fart;
0138;145098747;1;0;196;1#2;30;
0138;145115083;1;0;72;1#2;50;
0138;145115084;1;0;49;1#2;30;
0138;145115085;1;0;39;1#2;30;
0138;145115086;1;0;17;1#2;30;
0138;145115087;1;0;36;1#2;50;
0138;145115088;1;0;58;1#2;50;
0138;145115089;1;0;469;1#2;50;
0138;145115090;1;0;19;1#2;50;
0138;145115091;1;0;19;1#2;50;
0138;145115092;1;0;62;1#2;50;
0138;145115093;1;0;55;1#2;50;
0138;145115094;1;0;32;1#2;50;
0138;145115095;1;0;116;1#2;50;
0138;145115096;1;0;151;1#2;50;
0138;145115097;1;0;180;1#2;50;
0138;145115098;1;0;55;1#2;50;
0138;145115099;1;0;23;1#2;50;
0138;145115100;1;0;85;1#2;50;
0138;145115101;1;0;576;1#2;50;
0138;159596455;1;0;6;1#2;30;
0138;159596456;1;0;53;1#2;30;
0138;145115103;1;0;135;1#2;30;
0138;145115104;1;0;37;1#2;50;
0138;145115105;1;0;203;1#2;50;
0138;145115106;1;0;61;1#2;50;
0138;145115107;1;0;67;1#2;50;
0138;159596457;1;0;4;1#2;50;
0138;159596458;1;0;7;1#2;50;
0138;145115109;1;0;52;1#2;30;
0138;145115110;1;0;27;1#2;30;
0138;145115111;1;0;41;1#2;30;
0138;145115112;1;0;69;1#2;30;
0138;145115113;1;0;47;1#2;30;
0138;145115114;1;0;50;1#2;30;
0138;145115115;1;0;59;1#2;30;
0138;145115116;1;0;90;1#2;30;
0138;145115117;1;0;21;1#2;30;
0138;145115118;1;0;37;1#2;30;
0138;145115119;1;0;22;1#2;30;
0138;145115120;1;0;63;1#2;30;
0138;145115121;1;0;281;1#2;30;
0138;145115122;1;0;182;1#2;30;
0138;145115123;1;0;26;1#2;30;
0138;145115124;1;0;83;1#2;30;
0138;145115125;1;0;36;1#2;30;
0138;145115126;1;0;62;1#2;30;
0138;145115127;1;0;105;1#2;30;
0138;145115128;1;0;13;1#2;30;
0138;145115129;1;0;30;1#2;30;
0138;145115130;1;0;63;1#2;30;
0138;145115131;1;0;98;1#2;30;
0138;145115132;1;0;40;1#2;30;
0138;276791252;1;0;42;1#2;30;
0138;276791253;1;0;40;1#2;30;
0138;276791254;1;0;24;1#2;30;
0138;276791255;1;0;146;1#2;30;
0138;145115135;1;0;95;1#2;30;
0138;145115136;1;0;140;1#2;30;
0138;276844654;1;0;290;1#2;30;
0138;276844655;1;0;79;1#2;30;
0138;276844656;1;0;115;1#2;30;
0138;145115138;1;0;33;1#2;30;
0138;145115139;1;0;66;1#2;30;
0138;145115140;1;0;71;1#2;30;
0138;145115141;1;0;84;1#2;30;
0138;145115142;1;0;56;1#2;30;
0138;145115143;1;0;51;1#2;30;
0138;145115144;1;0;130;1#2;50;
0138;145115145;1;0;64;1#2;50;
0138;145115146;1;0;140;1#2;30;
0138;145115147;1;0;67;1#2;30;
