*0233*2011 VEGNETT*20110511*LAST*20110511*VDB SVNT*AHT
..Eksport-dato 20110511
"10"; "10"; "10"; 18.75; 50;

Komm; TransID;kode;Fra;   Til;felt;  So;  Vi; Tel; Len; Vekt;Skilting;
0233;145167837;1;0;21;1#2;T8-40;T8-40;6-28;12.40;40.0;Ingen;
0233;145167838;1;0;121;1#2;T8-40;T8-40;6-28;12.40;40.0;Ingen;
0233;145167839;1;0;666;1#2;T8-40;T8-40;6-28;12.40;40.0;Ingen;
0233;145167840;1;0;169;1#2;10-50;10-50;;19.50;50.0;Ingen;
0233;145167841;1;0;29;1#2;T8-40;T8-40;6-28;12.40;40.0;Ingen;
0233;145167842;1;0;319;1#2;10-50;10-50;;19.50;50.0;Ingen;
0233;145167843;1;0;131;1#2;T8-40;T8-40;6-28;12.40;40.0;Ingen;
0233;145167855;1;0;340;1#2;T8-50;10-50;T8-40;15.00;50.0;Ingen;
0233;145167856;1;0;52;1#2;T8-50;10-50;T8-40;15.00;50.0;Ingen;
0233;145167857;1;0;155;1#2;T8-50;10-50;T8-40;15.00;50.0;Ingen;
0233;145167858;1;0;490;1#2;T8-50;10-50;T8-40;15.00;50.0;Ingen;
0233;145167859;1;0;1632;1#2;T8-50;10-50;T8-40;15.00;50.0;Ingen;
0233;145184209;1;0;73;1#2;8-32;8-32;;12.40;32.0;Ingen;
0233;145184210;1;0;106;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184211;1;0;74;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184212;1;0;98;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184213;1;0;57;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184214;1;0;98;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184215;1;0;84;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184216;1;0;133;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184217;1;0;144;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184218;1;0;202;1#2;T8-40;10-50;T8-40;15.00;40.0;Ingen;
0233;145184219;1;0;200;1#2;T8-40;10-50;T8-40;15.00;40.0;Ingen;
0233;145184220;1;0;870;1#2;T8-40;10-50;T8-40;15.00;40.0;Ingen;
0233;145184221;1;0;206;1#2;T8-40;10-50;T8-40;15.00;40.0;Ingen;
0233;145184222;1;0;15;1#2;T8-40;10-50;T8-40;15.00;40.0;Ingen;
0233;145184223;1;0;183;1#2;T8-40;10-50;T8-40;15.00;40.0;Ingen;
0233;145184224;1;0;73;1#2;T8-40;10-50;T8-40;15.00;40.0;Ingen;
0233;145184225;1;0;61;1#2;T8-40;10-50;T8-40;15.00;40.0;Ingen;
0233;145184226;1;0;49;1#2;T8-40;10-50;T8-40;15.00;40.0;Ingen;
0233;145184227;1;0;102;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184228;1;0;32;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184229;1;0;13;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184230;1;0;51;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184231;1;0;165;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184232;1;0;104;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184233;1;0;221;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;168427514;1;0;29;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;168427515;1;0;107;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184235;1;0;40;1#2;Spes;8-32;;12.40;;;
0233;145184236;1;0;140;1#2;T8-40;10-50;;15.00;40.0;Ingen;
0233;145184237;1;0;232;1#2;T8-40;10-50;T8-40;15.00;40.0;Ingen;
0233;145184238;1;0;5;1#2;T8-40;10-50;T8-40;15.00;40.0;Ingen;
0233;145184239;1;0;17;1#2;T8-40;10-50;T8-40;15.00;40.0;Ingen;
0233;145184240;1;0;95;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184241;1;0;32;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184242;1;0;293;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184243;1;0;237;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184244;1;0;20;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184245;1;0;162;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184246;1;0;28;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184247;1;0;80;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184248;1;0;52;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184249;1;0;68;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184250;1;0;56;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184251;1;0;71;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184252;1;0;141;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184253;1;0;33;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184254;1;0;120;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184255;1;0;33;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184257;1;0;75;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184258;1;0;97;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184259;1;0;38;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184260;1;0;80;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184261;1;0;185;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184262;1;0;44;1#2;T8-40;10-50;T8-40;15.00;40.0;Ingen;
0233;145184263;1;0;35;1#2;T8-40;10-50;T8-40;15.00;40.0;Ingen;
0233;145184264;1;0;42;1#2;T8-40;10-50;T8-40;15.00;40.0;Ingen;
0233;145184265;1;0;89;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184266;1;0;70;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184267;1;0;118;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184268;1;0;31;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184269;1;0;28;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184270;1;0;42;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184271;1;0;25;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184272;1;0;45;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184273;1;0;107;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184274;1;0;30;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184275;1;0;50;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184276;1;0;3;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184277;1;0;52;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184278;1;0;29;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184279;1;0;81;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184280;1;0;16;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184281;1;0;56;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184282;1;0;61;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184283;1;0;8;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184284;1;0;73;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184285;1;0;137;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184286;1;0;136;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184287;1;0;272;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184288;1;0;72;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;168332378;1;0;99;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;168332379;1;0;83;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184290;1;0;25;1#2;T8-50;10-50;T8-40;15.00;50.0;Ingen;
0233;145184291;1;0;77;1#2;T8-50;10-50;T8-40;15.00;50.0;Ingen;
0233;145184292;1;0;175;1#2;8-32;8-32;;12.40;32.0;Ingen;
0233;145184293;1;0;82;1#2;8-32;8-32;;12.40;32.0;Ingen;
0233;145184294;1;0;216;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184295;1;0;37;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184296;1;0;57;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184297;1;0;34;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184298;1;0;52;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184299;1;0;29;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184300;1;0;18;1#2;8-32;8-32;T8-40;12.40;32.0;Ingen;
0233;145184302;1;0;18;1#2;T8-40;10-50;;15.00;40.0;Ingen;
0233;145184303;1;0;138;1#2;T8-40;10-50;;15.00;40.0;Ingen;
0233;145184304;1;0;112;1#2;T8-40;10-50;;15.00;40.0;Ingen;
0233;145184305;1;0;131;1#2;T8-40;10-50;;15.00;40.0;Ingen;
0233;145184306;1;0;7;1#2;T8-40;10-50;;15.00;40.0;Ingen;
0233;145184307;1;0;96;1#2;T8-40;10-50;;15.00;40.0;Ingen;
0233;145184308;1;0;72;1#2;T8-40;10-50;;15.00;40.0;Ingen;
0233;145184309;1;0;118;1#2;T8-40;10-50;;15.00;40.0;Ingen;
0233;145184310;1;0;78;1#2;T8-40;10-50;;15.00;40.0;Ingen;
0233;145184311;1;0;47;1#2;T8-40;10-50;;15.00;40.0;Ingen;
0233;145184312;1;0;54;1#2;T8-40;10-50;;15.00;40.0;Ingen;
0233;145184313;1;0;176;1#2;T8-40;10-50;;15.00;40.0;Ingen;
0233;204468840;1;0;44;1#2;T8-40;10-50;;15.00;40.0;Ingen;
0233;204468841;1;0;4;1#2;T8-40;10-50;;15.00;40.0;Ingen;
0233;145184315;1;0;49;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184316;1;0;34;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184317;1;0;33;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184318;1;0;311;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184319;1;0;20;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;168767460;1;0;107;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;168767461;1;0;94;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184321;1;0;3;1#2;T8-40;T8-40;T8-40;15.00;40.0;Ingen;
0233;145184323;1;0;35;1#2;10-50;10-50;T8-40;19.50;50.0;Ingen;
0233;157080585;1;0;94;1#2;10-50;10-50;T8-40;19.50;50.0;Ingen;
