*0417*2011 VEGNETT*20110511*HOYD*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;Høyde;
0417;145319603;1;0;129;1#2;3.4;
0417;145390395;1;0;150;1#2;4.5;
0417;145390420;1;0;3952;1#2;4.5;
0417;145390508;1;0;120;1#2;4.2;
0417;145397895;1;0;60;1#2;4.5;
0417;145397999;1;0;18;1#2;4.5;
0417;145398021;1;0;266;1#2;4.4;
0417;145398088;1;0;87;1#2;2.7;
0417;145398527;1;0;85;1#2;3.7;
0417;145398609;1;0;155;1#2;3.6;
0417;145405120;1;0;10;1#2;4.4;
0417;145405151;1;0;117;1#2;4.3;
0417;145407423;1;0;128;1#2;4.5;
0417;145408498;1;0;130;1#2;4.4;
0417;145409027;1;0;212;1#2;4.4;
0417;145409028;1;0;227;1#2;4.4;
