*0417*2011 VEGNETT*20110511*SPER*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;
0417;145318794;3;27;27;1#2;;
0417;145318950;3;292;292;1#2;;
0417;145319165;3;48;48;1#2;;
0417;145319179;3;98;98;1#2;;
0417;234608926;3;0;0;1#2;;
0417;145319609;3;46;46;1#2;;
0417;145319629;3;101;101;1#2;;
0417;145341784;3;31;31;1#2;;
0417;145341943;3;74;74;1#2;;
0417;145341961;3;0;0;1#2;;
0417;145341976;3;0;0;1#2;;
0417;145341977;3;0;0;1#2;;
0417;145341999;3;13;13;1#2;;
0417;145342028;3;30;30;1#2;;
0417;145342110;3;0;0;1#2;;
0417;145344512;3;0;0;1#2;;
0417;145377869;3;1619;1619;1#2;;
0417;145377871;3;21;21;1#2;;
0417;145377873;3;2712;2712;1#2;;
0417;145377875;3;0;0;1#2;;
0417;227431676;3;0;0;1#2;;
0417;145377926;3;0;0;1#2;;
0417;145377939;3;0;0;1#2;;
0417;145377941;3;0;0;1#2;;
0417;145377952;3;29;29;1#2;;
0417;145377974;3;0;0;1#2;;
0417;145377991;3;34;34;1#2;;
0417;145377996;3;936;936;1#2;;
0417;145378032;3;0;0;1#2;;
0417;145378118;3;35;35;1#2;;
0417;145378143;3;12;12;1#2;;
0417;145378154;3;0;0;1#2;;
0417;145378244;3;0;0;1#2;;
0417;145378326;3;7;7;1#2;;
0417;145378329;3;353;353;1#2;;
0417;145378359;3;0;0;1#2;;
0417;145378445;3;10;10;1#2;;
