*0438*2011 VEGNETT*20110511*INNF*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;Fra;   Til;felt;Retning;
0438;145411341;1;0;44;1;2;
0438;145411342;1;0;23;1;2;
0438;145411343;1;0;3;1;2;
0438;145411344;1;0;4;1;2;
0438;145411345;1;0;6;1;2;
0438;145411346;1;0;35;1;2;
0438;145411347;1;0;33;1#1V1;2;
0438;145411348;1;0;3;1;2;
0438;145411349;1;0;5;1;2;
0438;145411350;1;0;73;1;2;
0438;145411351;1;0;41;1;2;
0438;145411360;1;0;4;1;2;
0438;159606159;1;0;9;1;2;
0438;159606160;1;0;11;1;2;
0438;145411607;1;0;4;1;2;
0438;145411608;1;0;28;1;2;
0438;145412197;1;0;11;1;2;
0438;145412198;1;0;2;1;2;
0438;145412199;1;0;7;1;2;
0438;145412200;1;0;9;1;2;
0438;145412201;1;0;13;1;2;
0438;145412380;1;0;32;1;2;
0438;145412381;1;0;33;1;2;
0438;145412382;1;0;41;1;2;
0438;145412459;1;0;8;1;2;
0438;159606161;1;0;11;1;2;
0438;159606162;1;0;7;1;2;
0438;159606163;1;0;10;1;2;
0438;159606164;1;0;19;1;2;
0438;145412635;1;0;44;2;1;
0438;145412636;1;0;26;2;1;
0438;145412637;1;0;45;2;1;
0438;145412638;1;0;21;2;1;
0438;145412639;1;0;11;2;1;
0438;145412640;1;0;4;2;1;
0438;145412641;1;0;5;2;1;
0438;145412642;1;0;73;2#2H1;1;
0438;145412643;1;0;41;2;1;
0438;145412651;1;0;4;2;1;
0438;159606165;1;0;9;2;1;
0438;159606166;1;0;11;2;1;
0438;145412906;1;0;4;2;1;
0438;145412907;1;0;28;2;1;
0438;145413504;1;0;4;2;1;
0438;145413505;1;0;7;2;1;
0438;145413506;1;0;2;2#2H1;1;
0438;145413507;1;0;7;2#2H1;1;
0438;145413508;1;0;22;2;1;
0438;145413666;1;0;32;2;1;
0438;145413667;1;0;33;2;1;
0438;145413668;1;0;41;2;1;
0438;145413707;1;0;8;2;1;
0438;159606167;1;0;11;2;1;
0438;159606168;1;0;7;2;1;
0438;159606169;1;0;10;2;1;
0438;159606170;1;0;19;2;1;
0438;145413763;1;0;33;1V1;2;
0438;145413764;1;0;3;1V1;2;
0438;145413765;1;0;73;2H1;1;
0438;145413907;1;0;2;2H1;1;
0438;145413908;1;0;7;2H1;1;
0438;163456566;1;0;140;2;1;
0438;163456567;1;0;100;2#2v1;1;
0438;163456568;1;0;124;2;1;
0438;163456569;1;0;17;2;1;
0438;163456570;1;0;91;1h;2;
0438;163456571;1;0;33;2;1;
0438;163456572;1;0;9;2;1;
0438;163456573;1;0;2;2;1;
0438;163456574;1;0;2;2;1;
0438;246315094;1;0;1;2V1;1;
0438;246315095;1;0;2;2V1;1;
0438;246315096;1;0;4;2V1;1;
0438;163456582;1;0;93;2V1;1;
0438;163456583;1;0;44;1;2;
0438;163456584;1;0;92;1;2;
0438;246315097;1;0;2;1;2;
0438;246315098;1;0;5;1;2;
0438;255313114;1;0;96;1;2;
0438;255313115;1;0;126;1;2;
0438;163456587;1;0;16;1;2;
0438;163456588;1;0;41;1;2;
0438;163456589;1;0;3;1;2;
0438;246315099;1;0;1;1;2;
0438;246315100;1;0;1;1;2;
