*0502*2011 VEGNETT*20110511*SVING*20110511*VDB SVNT*AHT
..Eksport-dato 20110511


Komm; TransID;kode;TransID
0502;145514368;4;145515368
0502;145508393;4;145437142
0502;145508397;3;145516319
0502;145508398;3;145516083
0502;145508402;4;145516078
0502;145508404;4;145516321
0502;145514982;4;145515671
0502;145506065;4;145510054
0502;145420475;4;145420710
0502;145420801;4;145420335
0502;145421028;3;145502597
0502;145421084;3;145421100
0502;145516214;3;145515226
0502;145421463;4;145421183
0502;145515248;4;145516303
0502;145515251;4;145516225
0502;145435029;3;145420709
0502;145436349;3;145508392
0502;145514569;3;145516217
0502;145497415;4;145497567
0502;145497415;3;145497564
0502;145497429;4;145516355
0502;145515567;3;145514579
0502;145514585;4;145514811
0502;145515571;3;145515795
0502;145514587;4;145515573
0502;145510054;3;145506029
0502;145510057;4;145516085
0502;171933406;3;171933390
0502;145514658;4;145515636
0502;145515645;3;145514666
0502;145514668;4;145516208
0502;145498215;3;145421424
0502;145514693;4;145515970
0502;145515795;3;145516358
0502;145496737;3;145437669
0502;145421596;3;145498151
0502;145515639;3;145421596
0502;145515090;4;145508401
